Banana • Slim (Deluxe);;;;;;;;;;;;
;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;
Nutritional values per 100g/ml;100;g;;72.6;2.2;12.8;4.2;1.4;0.2;;;
Nutritional values per ½ Deluxe Tub;360;g;;261.4;7.9;46.1;15.1;5.1;0.6;;;
Nutritional values total;720;g;;522.7;15.7;92.3;30.2;10.3;1.2;;;
;;;;;;;;;;;;
FPDF / PAC (target 20..30);28.86;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";7.85%;;;;LOW-FAT;;Low-Sugar;;;;;
Milk Solids Non-Fat (MSNF, 7-11%);17.1;g;;2.4%;;;;;;;;
;;;;;;;;;;;;
Process on FroYo, followed by a scrape down and a re-spin.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Rating: 😋😋😋😋🍌;;;;;;;;;;;;
30g Ice Cream Stabilizer (ICSv2) is;"14.3g erythritol, 1.43g Tylose powder (CMC, E466), 
0.5g tara gum (E417), 0.15g xanthan (E415),
14.3g inulin, 0.5g salt.";;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;
;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment
Almond milk (unsweetened) [REWE Bio];250.00;ml;1;19.00;1.70;0.00;0.00;0.80;0.15;;;with guar gum (<1.5g)
Bananas (peeled);125.00;g;1;108.00;0.60;21.50;16.00;1.22;0.03;0.16;;1 mid-size banana, eat any surplus 😋
Greek Yogurt 9% [Lyttos];100.00;g;1;113.00;9.20;3.80;3.80;3.20;0.13;0.04;7.91;
Skim Milk 1.5% [Weihenstephan];100.00;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;
Fruit Brandy 40 vol%;10.00;g;1;280.00;;;;;;2.96;;
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml"
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;
Lemon juice;;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;
Vanilla flavor drops [IronMaxx];;drops;1;;;;;;;;;
ICSv2 [Erythritol / CMC / Tara / XG / Inulin];30.00;g;2;107.3;0.0;54.7;3.7;0.1;1.7;1.32;;http://bit.ly/4frc4Vj
Xylitol;30.00;g;2;238.00;0.00;100.00;0.00;0.00;0.00;2.20;;"Sweetness = 100%; GI = 7"
Vanilla Bean Powder [InterVanilla];3.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;
Whey protein Vanilla [MaxiNutrition];;g;2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;
;;;;;;;;;;;;
Water to MAX line;62.00;ml;3;0.00;0.00;0.00;0.00;0.00;0.00;;;
