Radler Zäpfle (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;64.2;0.5;11.3;4.5;3.5;0.4;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;231.1;1.7;40.7;16.2;12.8;1.3;;;;;
Nutritional values total;382;g;;245.2;1.8;43.2;17.2;13.6;1.4;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.07;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";22.12%;;;;LOW-FAT;;Low-Sugar;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);14.0;g;;3.7%;;;;;;;;;;
ℹ️ Net carbs;24.9;g;;*∝ 5 servings@76g:* 5g;;;*∝ 3 servings@127g:* 8.3g;;;;;;;
;;;;;;;;;;;;;;
"Wheat beer mixed 1:1 with lemonade (which is a common summer drink in southern Germany) as a base.

You can also try this with similar fruity beverages, like Berliner Weiße (wheat beer combined with fruit syrup) or Belgian Früli (strawberry beer; leave out the VG).

> 🌿 **Vegan & Dairy-free**

The beer comes in 0.33l bottles, it foams up when you mix in the additional ingredients. Therefor filling the container only half is recommended.

The base developed a sizable but very soft and crumbly hump. Spin on “Sorbet”, followed by a scrape-down and mix-in. Comes out very soft and needs 1-2h refreezing before serving.

Served with a decorative pretzel (same as the mix-in).

Rating: 😋🍺🍺🍋🍋";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"1. Pour beer into empty Creami tub, add other wet ingredients.
 1. Weigh and mix dry ingredients in a small bowl, ideally on a jeweller’s scale.
 1. Vigorously whisk the dry stuff into the wet stuff.
 1. Optionally, add flavor drops, to taste.
 1. Let defoam in the fridge for about 2 hours, give it a final stir.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
The [brand names] used are in brackets.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Rothaus Radler Zäpfle 2.4 vol% (0.33l);330.00;ml;1;34.00;0.50;5.30;4.80;;;0.19;;;;1
Glycerin (E422, VG) [hd-line];10.00;g;1;400.00;;99.00;;;;3.70;;"POD = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Lemon juice;10.00;ml;1;25.00;0.10;3.36;1.65;0.30;0.01;0.02;;;;1
Brandy or Vodka 40 vol%;;g;1;280.00;;;;;;2.96;;;;1
Früli Belgian Strawberry Beer 4.1 vol% (0.33l);;ml;1;50.00;;6.60;6.00;;;0.30;;;;1
Inulin [Vit4ever];15.00;g;2;210.00;;97.00;8.00;;0.20;0.09;;"Sweetness = 8%; GI ~= 0";89.00;1
Soy protein isolate (nature) [Powerstar];15.00;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Xanthan gum (E415, XG);1.00;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
;;;;;;;;;;;;;;
Salty Prezels [Huober/REWE];10.00;g;4;397.00;6.20;72.30;2.60;11.30;4.90;;;"1 pretzel = 2g; add broken into 2-3 pieces as a mix-in [40kcal, 7.2g carbs]";;
;;;;;;;;;;;;;;
Flavor drops Peach / Maracuja (sucralose) [IronMaxx];≈3;drops;6;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Jul 5, 2025;Added more solids;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
